Experiment,Weight Sharing,Parameters,Val Loss,Samples/Sec,Peak Memory (MB),Sample,Epochs,Batch Size,LR,Embed Dim,Depth,Heads,Block Size,Dropout,Hidden Dim,Use RoPE,Gradient Checkpointing
Baseline (Vanilla),none,13453056,3.75563782453537,273.36671823015377,5234.42431640625,Il était une foisrto partie rien,2,32,0.0003,256,8,8,256,0.1,512,True,False
STLM (Shared FFN),ffn,10700544,3.610363006591797,274.06391609532966,5203.90869140625,Il était une fois dans Méditerranée,2,32,0.0003,256,8,8,256,0.1,512,True,False
STLM (Universal),full,8851200,3.7128202319145203,286.9266730042956,5182.13818359375,Il était une fois-El qu rock,2,32,0.0003,256,8,8,256,0.1,512,True,False
Baseline (Vanilla),none,13453056,3.155176877975464,274.1539963964901,5239.392578125,"Il était une fois,bese (,' de et servicesa représenter le à la la la, tv,- enfr européennez du.,Her ) la, lasouest Les",10,32,0.0003,256,8,8,256,0.1,512,True,False
STLM (Shared FFN),ffn,10700544,3.145125687122345,276.75308679396267,5207.892578125,"Il était une fois en un)' est àaux est decos'-' et un peuvent et commeogramme ;, chuteos produit d S d la du'.",10,32,0.0003,256,8,8,256,0.1,512,True,False
STLM (Universal),full,8851200,3.1390523314476013,277.37653361273607,5186.28759765625,"Il était une fois ("" frontières Ilum un' signifié est des qui ailaquerité"","", codage Linux manièreœ et la'origine, qui'' veut et par on d grec ou SonAsie en langue, l d placé du généralement sur fer ce est",10,32,0.0003,256,8,8,256,0.1,512,True,False
Baseline (Vanilla),none,31100416,3.145297110080719,158.75062604978737,6017.76171875,"Il était une fois, une qui à' d.non pour quicher le un'' est »'aque, du que’ qui d l' des, la (.",10,32,0.0003,512,8,8,256,0.1,512,True,False
STLM (Shared FFN),ffn,25595392,3.1777775287628174,159.05825301972263,5955.01171875,"Il était une fois, par trou' des'',, un son,), énergie des la, l",10,32,0.0003,512,8,8,256,0.1,512,True,False
STLM (Universal),full,18226688,3.1400777101516724,161.16292072130156,5869.55517578125,"Il était une fois' d informatique' est à''' plus, des'' du en un' est). par la. està' par gaz l moins’e'.' lun dexploitation pour en la, du « de'',",10,32,0.0003,512,8,8,256,0.1,512,True,False
Baseline (Vanilla),none,45813248,3.202833116054535,104.69119008176534,7818.62451171875,"Il était une fois de par un la autour et, et une des deectoriel. le,,une membre,-' milieu laphlavenes un de une' géographique. des, à, extension. les.,, d à group, : du de et",10,32,0.0003,512,16,8,256,0.1,512,True,False
STLM (Shared FFN),ffn,34016768,3.171777606010437,105.92803907641067,7683.62451171875,"Il était une fois', leabilité, Afrique à ou est, gui' inconnue évolué. comme de, le de l traverseovi la les multinexistaient àosolo de le à du ous unt le' des du, un,, la, un",10,32,0.0003,512,16,8,256,0.1,512,True,False
